training_hours,progression_rate
1,0.2222222222222222
2,0.2604166666666667
3,0.2689075630252101
4,0.16964285714285715
5,0.24299065420560748
6,0.26053639846743293
7,0.291866028708134
8,0.22466960352422907
9,0.3076923076923077
10,0.27385892116182575
11,0.2109704641350211
12,0.21575342465753425
13,0.3051643192488263
14,0.23376623376623376
15,0.24347826086956523
16,0.24479166666666666
17,0.2600732600732601
18,0.2611683848797251
19,0.26993865030674846
20,0.2446043165467626
21,0.2734375
22,0.2198581560283688
23,0.2558139534883721
24,0.2673992673992674
25,0.2814070351758794
26,0.28346456692913385
27,0.25
28,0.24012158054711247
29,0.26256983240223464
30,0.25668449197860965
31,0.21739130434782608
32,0.30434782608695654
33,0.24
34,0.2567049808429119
35,0.2345679012345679
36,0.26066350710900477
37,0.2331288343558282
38,0.23478260869565218
39,0.2640449438202247
40,0.2864583333333333
41,0.19310344827586207
42,0.23140495867768596
43,0.2914572864321608
44,0.2634146341463415
45,0.26285714285714284
46,0.26905829596412556
47,0.25477707006369427
48,0.26582278481012656
49,0.25
50,0.3010752688172043
51,0.3068181818181818
52,0.20918367346938777
53,0.27205882352941174
54,0.2111801242236025
55,0.23391812865497075
56,0.3
57,0.28169014084507044
58,0.25190839694656486
59,0.17391304347826086
60,0.2268041237113402
61,0.25510204081632654
62,0.2890625
63,0.28
64,0.22727272727272727
65,0.21518987341772153
66,0.205607476635514
67,0.2222222222222222
68,0.3185840707964602
69,0.21794871794871795
70,0.18181818181818182
71,0.3
72,0.21568627450980393
73,0.22580645161290322
74,0.24427480916030533
75,0.2982456140350877
76,0.2891566265060241
77,0.26136363636363635
78,0.3515151515151515
79,0.21311475409836064
80,0.2361111111111111
81,0.25806451612903225
82,0.20408163265306123
83,0.20930232558139536
84,0.1981981981981982
85,0.14754098360655737
86,0.19148936170212766
87,0.36363636363636365
88,0.2826086956521739
89,0.265625
90,0.1864406779661017
91,0.27941176470588236
92,0.21649484536082475
94,0.21774193548387097
95,0.32432432432432434
96,0.25203252032520324
97,0.23255813953488372
98,0.20253164556962025
99,0.2127659574468085
100,0.23008849557522124
101,0.2631578947368421
102,0.30656934306569344
103,0.2571428571428571
104,0.26153846153846155
105,0.13846153846153847
106,0.19148936170212766
107,0.31746031746031744
108,0.2
109,0.288135593220339
110,0.2597402597402597
111,0.35
112,0.3125
113,0.2
114,0.2835820895522388
116,0.359375
117,0.3333333333333333
118,0.3157894736842105
119,0.2777777777777778
120,0.17647058823529413
121,0.1875
122,0.22916666666666666
123,0.1
124,0.2558139534883721
125,0.25
126,0.14705882352941177
127,0.19047619047619047
128,0.21621621621621623
129,0.25
130,0.17647058823529413
131,0.14814814814814814
132,0.3
133,0.17391304347826086
134,0.2777777777777778
135,0.19230769230769232
136,0.3
138,0.25
139,0.30434782608695654
140,0.2916666666666667
141,0.2692307692307692
142,0.3
143,0.09090909090909091
144,0.2727272727272727
145,0.25806451612903225
146,0.24
147,0.21428571428571427
148,0.23529411764705882
149,0.11538461538461539
150,0.27906976744186046
151,0.38095238095238093
152,0.2391304347826087
153,0.3333333333333333
154,0.14634146341463414
155,0.24
156,0.3448275862068966
157,0.25925925925925924
158,0.14285714285714285
160,0.18518518518518517
161,0.16666666666666666
162,0.21951219512195122
163,0.1724137931034483
164,0.21052631578947367
165,0.25
166,0.2112676056338028
167,0.23529411764705882
168,0.3333333333333333
170,0.125
172,0.2631578947368421
174,0.32142857142857145
176,0.15789473684210525
178,0.21875
180,0.20689655172413793
182,0.225
184,0.28
188,0.2962962962962963
190,0.16666666666666666
192,0.3333333333333333
194,0.15789473684210525
196,0.27586206896551724
198,0.3333333333333333
200,0.21739130434782608
202,0.2857142857142857
204,0.15625
206,0.14285714285714285
210,0.1724137931034483
212,0.25
214,0.22580645161290322
216,0.29411764705882354
218,0.16666666666666666
220,0.29411764705882354
222,0.18181818181818182
224,0.15
226,0.2
228,0.5714285714285714
232,0.14285714285714285
234,0.0
236,0.0
238,0.0
240,0.14285714285714285
242,0.0
244,0.25
246,0.14285714285714285
248,0.2727272727272727
250,0.15384615384615385
254,0.1111111111111111
256,0.06666666666666667
258,0.46153846153846156
260,0.1111111111111111
262,0.08333333333333333
264,0.13333333333333333
266,0.16666666666666666
268,0.45454545454545453
270,0.42857142857142855
272,0.2
276,0.0
278,0.0
280,0.42857142857142855
282,0.25
284,0.3333333333333333
286,0.6
288,0.16666666666666666
290,0.4444444444444444
292,0.2727272727272727
294,0.0
298,0.46153846153846156
300,0.08333333333333333
302,0.3333333333333333
304,0.23076923076923078
306,0.16666666666666666
308,0.2857142857142857
310,0.0
312,0.08333333333333333
314,0.2
316,0.25
320,0.1
322,0.15384615384615385
324,0.2222222222222222
326,0.13333333333333333
328,0.18181818181818182
330,0.09090909090909091
332,0.3333333333333333
334,0.18181818181818182
336,0.2727272727272727
